TaskID,ParentTask,SubtaskTitle,Description,Estimate_hours,Priority,Files,Commits,Acceptance_Criteria,Labels
"1.1","TASK-01","Существующий draft ADR прочитан и замечания собраны","Файл ADR прочитан, замечания по контракту очереди и форматам собраны, список вопросов подготовлен и передан на согласование.",1.5,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docs/adr/ADR-2026-001-queue-workers.md",e2c9d62,"Список замечаний подготовлен и отправлен на ревью.",docs
"1.2","TASK-01","Контракт очереди задокументирован","Таблицы, поля, статусы задач, TTL, retries и пример записи в очереди определены и задокументированы.",4,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/alembic/versions/20260125_create_processing_jobs.py",e2c9d62,"ADR обновлён, схема таблиц описана.",docs,backend
"1.3","TASK-01","План миграции и rollback подготовлен","Пошаговый план применения миграции и процедура отката описаны; проверки целостности данных добавлены.",2.5,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docs/templates/migration-plan-template.md",e2c9d62,"Runbook применим локально: alembic upgrade/downgrade протестированы.",docs,infra
"1.4","TASK-01","Checklist для PR миграции добавлен","Чеклист для PR (миграция, тесты, бэкапы, мониторинг) добавлен в шаблон PR.",2,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docs/templates/pr-template.md",e2c9d62,"PR template обновлён; checklist применён на тестовом PR.",docs
"1.5","TASK-01","ADR согласован с техлидом и правки внесены","ADR ревью проведено с техлидом/архитектором, комментарии собраны и учтены.",3,High,,e2c9d62,"ADR утверждён или помечены открытые вопросы.",docs
"1.6","TASK-01","Тест-скелет и примерные данные обновлены","Тестовые данные подготовлены, пример запуска миграции в dev DB добавлен.",3,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_job_queue.py",e2c9d62,"Тесты миграции запускались локально.",tests
"2.1","TASK-02","Спецификация API DAO подготовлена","Публичные методы DAO и контракты для enqueue/claim/update/requeue/fail определены и задокументированы.",4,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/jobs/queue.py",e2c9d62,"Документированный API принят.",backend
"2.2","TASK-02","DAO реализован (SQLAlchemy)","DAO с транзакционной логикой реализован: атомарный claim, update и requeue.",20,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/db/database.py",e2c9d62,"CRUD и claim работают под нагрузкой.",backend
"2.3","TASK-02","Сервисный слой реализован","Слой сервисов с retries, backoff и обработкой ошибок добавлен и интегрирован в consumer'ы.",10,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/jobs/services.py",e2c9d62,"Service API тестировался unit/integ тестами.",backend
"2.4","TASK-02","Unit‑тесты для DAO и сервиса написаны","Unit-тесты для happy path и ошибок написаны и проходят.",10,High,"https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_job_queue.py;https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_job_queue_db.py",e2c9d62,"Unit тесты зелёные.",tests
