Phase,TaskID,Title,Description,Hours,StartMonth,EndMonth,Priority,Branch,Status
Phase 1: Infrastructure & Queue Foundation,TASK-01,Database Architecture & ADR,Determine queue architecture; develop ADR; design jobs schema; define contracts,16,1,1,High,feature/queue-adr-migration/task-01-db-adr,In Progress
Phase 1: Infrastructure & Queue Foundation,TASK-02,Job Queue Service Layer,Implement DAO and service layer with retry/backoff; comprehensive testing,80,1,2,High,feature/queue-adr-migration/task-02-queue-service,In Progress
Phase 1: Infrastructure & Queue Foundation,TASK-03,Worker Service & Long-Lived Whisper,Build FastAPI Whisper service; integrate with worker; Docker setup; benchmarking,110,2,3,High,feature/queue-adr-migration/task-03-worker-service,In Progress
Phase 2: Core Features Integration,TASK-04,Transcriber Pipeline v4 & LLM Formatting,Integrate Whisper with LLM formatting; improve chunking; error handling and fallback,60,4,4,High,feature/queue-adr-migration/task-04-transcriber-v4,In Progress
Phase 2: Core Features Integration,TASK-05,Bot Handlers Refactor & Deduplication,Refactor bot handlers; implement processing_guard and update_dedupe; event logging,140,4,6,High,feature/queue-adr-migration/task-05-bot-refactor,In Progress
Phase 2: Core Features Integration,TASK-06,Payment Flow & Monitoring,Yukassa webhook integration; sandbox testing; payment monitoring,40,5,6,Medium-High,feature/queue-adr-migration/task-06-payments,In Progress
Phase 3: Deployment Testing & CI,TASK-07,Docker & Deployment Configuration,Optimize Dockerfile and docker-compose; remove secrets; build strategy; documentation,40,7,7,Medium,feature/queue-adr-migration/task-07-docker-deploy,In Progress
Phase 3: Deployment Testing & CI,TASK-08,Tools Scripts & Documentation,Stabilize minimal_app and di_worker utilities; prepare dev scripts and examples,32,7,8,Medium,feature/queue-adr-migration/task-08-tools-docs,In Progress
Phase 3: Deployment Testing & CI,TASK-09,Testing & CI Pipeline,Comprehensive testing; fix flaky tests; set up CI in GitHub Actions,40,8,9,High,feature/queue-adr-migration/task-09-testing-ci,In Progress
Phase 4: Finalization & Release,TASK-10,Repository Cleanup & Documentation,Remove large files; update .gitignore; prepare git-filter-repo plan; finalize docs,24,10,10,Medium,feature/queue-adr-migration/task-10-cleanup,In Progress
Phase 4: Finalization & Release,TASK-11,Final Testing Bug Fixes & Release Checklist,E2E testing; critical bug fixes; release checklist and ops runbook,18,10,12,High,feature/queue-adr-migration/task-11-final-release,In Progress
