TaskID,Phase,StartDate,EndDate,Title,Description,Estimate_hours,Status,Key_Commits,Files
TASK-00,Инициализация,2025-03-21,2025-03-21,Инициализация и базовый Telegram бот,Создан первоначальный бот на pyTelegramBotAPI для транскрибации видео. Реализована загрузка медиа и интеграция с Whisper API.,40,Завершено,2047cb0,main.py
TASK-01,LLM и форматирование,2025-03-21,2025-03-21,Интеграция LLM для форматирования транскрипций,Добавлена интеграция с OpenRouter API для форматирования и улучшения качества текста. Реализована генерация коротких и подробных саммари.,80,Завершено,"581dfc3,fdd4f93,67042c8",transkribator_modules/transcribe/*
TASK-02,Модульная архитектура,2025-03-23,2025-03-23,Модульная архитектура и Pyrogram воркер,Переструктурирован проект в модульную архитектуру. Добавлен Pyrogram воркер для обработки больших видео.,120,Завершено,3e0c139,transkribator_modules/*
TASK-03,Переименование,2025-05-31,2025-05-31,Переименование в Cyberkitty19 и подготовка к production,Переименован проект в Cyberkitty19 с кошачьей тематикой. Добавлены интересные факты о кошках. Подготовлена документация по деплою.,50,Завершено,"b24a781,9efd4f3",README.md
TASK-04,Монетизация,2025-05-31,2025-06-01,Система монетизации - Telegram Stars и тарифы,Реализована полная система монетизации с Telegram Stars платежами. Добавлены API ключи и система тарифных планов (BASIC/PRO/UNLIMITED). Интеграция с Yukassa.,180,Завершено,b945e56,"transkribator_modules/bot/payments.py,transkribator_modules/payments/*"
TASK-05,Bot API Server,2025-06-11,2025-06-16,Миграция на Telegram Bot API Server,Полная переписка на локальный Bot API Server. Поддержка TDLib сессии и больших файлов до 2GB.,140,Завершено,"273be9f,241a33e,b50dac6",transcribe_client/*
TASK-06,Стабилизация,2025-06-24,2025-06-27,Стабилизация и Yukassa платежи,Стабилизация после миграции на Bot API Server. Интеграция Yukassa. Fallbacks для внешних сервисов.,80,Завершено,"86bc198,05ac569,39dcb46","transkribator_modules/payments/yukassa.py,transkribator_modules/bot/yukassa_webhook.py"
TASK-07,Группы и UX,2025-07-14,2025-07-16,Группы и UX улучшения,Добавлена поддержка групповых чатов. Реализована разная логика для групп и личных чатов. Улучшена навигация в меню.,60,Завершено,"a986f23,a9ac5e2,d9cb55c,41258f5",transkribator_modules/bot/handlers.py
TASK-08,Google Docs,2025-07-17,2025-07-17,Google Docs интеграция и большие файлы,Интеграция Google Docs для сохранения длинных транскрипций. Полная поддержка больших файлов через Bot API.,50,Завершено,"5cb2102,6266441,19f3597",transkribator_modules/utils/large_file_downloader.py
TASK-09,PostgreSQL,2025-09-21,2025-09-24,PostgreSQL миграция и архитектурные улучшения,Миграция с SQLite на PostgreSQL. Реализована система Alembic миграций. Синхронизация цен между Yukassa и ботом.,120,Завершено,72c9c7e,"alembic/versions/*,transkribator_modules/db/database.py"
TASK-10,Agent/Journal,2025-10-04,2025-10-21,Agent / Journal / Mini-app интеграция,Интеграция AI Agent (Gemini). Реализован Journal/Notes функционал. Telegram Mini-app фронтенд и Google Drive интеграция.,200,Завершено,"dbbded2,98790e3,0079160,4413ceb",transkribator_modules/agent/*
TASK-11,Рефакторинг,2025-12-01,2025-12-31,Рефакторинг бота и логирование,Общий рефакторинг обработчиков. Улучшение логирования. Smoke тесты и Makefile.,140,Завершено,"14c3fd2,c750d7e","transkribator_modules/bot/handlers.py,tests/*,Makefile"
TASK-12,Queue Migration,2026-01-25,2026-02-28,ADR и план миграции очереди,Анализ draft ADR-2026-001. Определены требования к архитектуре очереди. Составлен список уточнений для доработки дизайна.,16,В работе,e2c9d62,docs/adr/ADR-2026-001-queue-workers.md
TASK-13,Queue Migration,2026-01-25,2026-02-28,Очередь - DAO и services,Реализация DAO слоя для очереди с использованием SQLAlchemy. Добавлены сервисы с retry логикой и обработкой ошибок.,80,В работе,e2c9d62,"transkribator_modules/jobs/queue.py,transkribator_modules/jobs/services.py"
TASK-14,Queue Migration,2026-01-25,2026-02-28,DI worker и Whisper service,Реализован FastAPI Whisper service. Docker контейнеризация. Интеграция с transcribe_client и retry policies.,110,В работе,"763df02,b4a3591","tools/whisper_service.py,tools/di_worker/*,transcribe_client/di_worker.py"
TASK-15,Queue Migration,2026-01-25,2026-02-28,Transcriber v4 и форматирование LLM,Оптимизирован chunking logic для длинных транскриптов. Реализован fallback при ошибках LLM. Интеграция с OpenRouter/OpenAI.,60,В работе,b4a3591,transkribator_modules/transcribe/transcriber_v4.py
TASK-16,Queue Migration,2026-01-25,2026-02-28,Рефактор бота - миграция на очередь,Переработка обработчиков бота для использования очереди вместо синхронной обработки. Внедрение processing_guard и update_dedupe.,140,В работе,"14c3fd2,b4a3591","transkribator_modules/bot/handlers.py,transkribator_modules/bot/processing_guard.py,transkribator_modules/bot/update_dedupe.py"
TASK-17,Queue Migration,2026-01-25,2026-02-28,Платежи и мониторинг,Рефакторинг платежных обработчиков для работы с очередью. Добавлен мониторинг платёжных событий.,40,В работе,b4a3591,"transkribator_modules/payments/monitoring.py,transkribator_modules/bot/yukassa_webhook.py"
TASK-18,Queue Migration,2026-01-25,2026-02-28,Docker и docker-compose,Оптимизация Docker слоёв. Удаление секретов из образов. Тестирование docker compose build & up.,40,В работе,f9323456,"Dockerfile*,docker-compose.yml"
TASK-19,Queue Migration,2026-01-25,2026-02-28,Инструменты и скрипты,Стабилизация minimal_app и di_worker утилит. Обновление README и примеров для разработчиков.,32,В работе,"6af943b,763df02","tools/di_worker/README.md,minimal_app/*"
TASK-20,Queue Migration,2026-01-25,2026-02-28,Тесты и CI,Все unit тесты прогнаны. Мокирование внешних сервисов. Настройка CI pipeline (pytest + lint).,40,В работе,c750d7e,".github/workflows/*,tests/*"
TASK-21,Queue Migration,2026-01-25,2026-02-28,Финализация и полировка,Исправление критических багов. Финальный smoke test. Подготовка релизного чеклиста и runbook.,42,В работе,,docs/
